# IBAN-Regeln der Deutschen Bundesbank je Bankleitzahl (BLZ;Regel*100+Version)
# Quelle: Bankleitzahlendatei mit IBAN-Regeln, extrahiert aus der mitgelieferten blz.lut2f von konto_check 6.15
# (Gueltigkeit der Daten: 20251208-20260308 (Zweiter Datensatz)). Die Bundesbank veroeffentlicht die IBAN-Regel-Spalte nicht mehr in
# den aktuellen Bankleitzahlendateien; diese Tabelle wird von konto_check_ruby auf Dateien ohne
# IBAN-Regeln angewendet (Option iban_rules).
62240048;503
62280012;503
63000000;4201
63020086;3200
63040053;503
63070024;2002
63070088;2002
63080015;503
63080085;503
63220090;3200
63240016;503
64000000;4201
64020186;3200
64040033;503
64040045;503
64070024;2002
64070085;2002
64070215;2002
64070224;2002
64080014;503
64140036;503
64180014;503
64240048;503
64240071;503
64380011;503
65020186;3200
65040073;503
65070024;2002
65070084;2002
65080009;503
65140072;503
65180005;503
65340004;503
65341204;503
65370024;2002
65370075;2002
65380003;503
65440087;503
66000000;4201
66020020;5300
66020286;3200
66040018;503
66040026;503
66050000;5300
66070004;2002
66070024;2002
66070213;2002
66070224;2002
66080052;503
66240002;503
66270001;2002
66270024;2002
66280053;503
66340018;503
66440084;503
66470024;2002
66470035;2002
66640035;503
66670006;2002
66670024;2002
66680013;503
67020190;3200
67040031;503
67040060;503
67040061;503
67040085;503
67070010;2002
67070024;2002
67080050;503
67080085;503
67080086;503
67089440;503
67220286;3200
67240039;503
67270003;2002
67270024;2002
67280051;503
67291900;100
68000000;4201
68020186;3200
68040007;503
68050101;4400
68070024;2002
68070030;2002
68070212;2002
68070224;2002
68080030;503
68080031;503
68080085;503
68080086;503
68270024;2002
68270033;2002
68340058;503
68370024;2002
68370034;2002
69020190;3200
69040045;503
69070024;2002
69070032;2002
69220186;3200
69240075;503
69270024;2002
69270038;2002
69280035;503
69400000;4201
69440007;503
69440060;503
69470024;2002
69470039;2002
70000000;4201
70011900;100
70012000;100
70013010;100
70015000;100
70015015;100
70015025;100
70015035;100
70020270;3301
70021180;3200
70025175;3200
70030300;100
70040041;503
70040045;503
70040048;503
70040060;503
70040061;503
70040062;503
70040063;503
70040070;503
70045050;503
70070010;2002
70070024;2002
70070324;2002
70070362;2002
70080000;503
70080056;503
70080057;503
70080085;503
70080086;503
70080087;503
70080088;503
70089470;503
70089472;503
70133300;4700
70150000;600
70220200;800
70320090;3200
70321194;3200
70322192;3200
70380006;503
71020072;3200
71021270;3200
71022182;3200
71023173;3200
71120077;3200
71120078;3200
71121176;3200
71122183;3200
71140041;503
71141041;503
71142041;503
71180005;503
72000000;4201
72020070;3200
72021271;3200
72021876;3200
72030260;100
72040046;503
72070001;2002
72070024;2002
72070324;2002
72070365;2002
72080001;503
72120078;3200
72122181;3200
72140052;503
72170007;2002
72170024;2002
72170324;2002
72170363;2002
72180002;503
72220074;3200
72223182;3200
73120075;3200
73140046;503
73180011;503
73311600;100
73320073;3200
73321177;3200
73322380;3200
73340046;503
73370008;2002
73370024;2002
73380004;503
73420071;3200
73421478;3200
73440048;503
73480013;503
74020074;3200
74040082;503
74120071;3200
74140048;503
74180009;503
74220075;3200
74221170;3200
74240062;503
74320073;3200
74340077;503
74380007;503
75000000;4201
75020073;3200
75021174;3200
75040062;503
75070013;2002
75070024;2002
75080003;503
75220070;3200
75240000;503
75320075;3200
75340090;503
76000000;4201
76020070;3200
76026000;2002
76040060;503
76040061;503
76040062;503
76040065;503
76070012;2002
76070024;2002
76070324;2002
76070361;2002
76080040;503
76080053;503
76080055;503
76080085;503
76080086;503
76089480;503
76089482;503
76220073;3200
76240011;503
76320072;3200
76340061;503
76420080;3200
76520071;3200
77020070;3200
77040080;503
77120073;3200
77140061;503
77320072;3200
77340076;503
78020070;3200
78040081;503
78140000;503
78320076;3200
78340091;503
79000000;4201
79020076;3501
79040047;503
79070016;2002
79070024;2002
79080052;503
79080085;503
79320075;3200
79340054;503
79380051;503
79520070;3200
79540049;503
79570024;2002
79570051;2002
79570324;2002
79570364;2002
79580099;503
79589402;503
80020086;3200
80020087;3200
80040000;503
80080000;503
81000000;4201
81040000;503
81070000;2002
81070024;2002
81080000;503
82000000;4201
82020086;3200
82020087;3200
82020088;3200
82040000;503
82040085;503
82060197;100
82070000;2002
82070024;2002
82070324;2002
82070366;2002
82080000;503
83020086;3200
83020087;3200
83020088;3200
83040000;503
83080000;503
84020087;3200
84040000;503
84080000;503
85020086;3200
85040000;503
85040060;503
85040061;503
85080000;503
85080085;503
85080086;503
85080200;503
85089270;503
86000000;4201
86020086;3200
86033300;4700
86040000;503
86040060;503
86040061;503
86050000;5300
86070000;2002
86070024;2002
86070407;2002
86070424;2002
86080000;503
86080055;503
86080057;503
86080085;503
86080086;503
86089280;503
87000000;4201
87020086;3200
87020087;3200
87020088;3200
87040000;503
87070000;2002
87070024;2002
87070406;2002
87070424;2002
87080000;503
